account,postdate,tweet,link,topic_tag,comments,retweets,likes,shares,replysource,platform,views,page
kay_wise_threads,2025-09-04 00:39:54+00:00,"Like most kids in the 40s, I easily survived the red measles, i.e. rubella.  So why vaccinate?  Well, I had measles when mom was pregnant. Six months later, my little brother, Ronnie was born with a clef palate, much of his bowel necrotic, his eyes unable to open, his tongue tied, and more.  Mom carried him on a pillow for months he was so weak.  He underwent six operations before age two.  We moved his hands and knees for weeks to teach him to crawl.  1/ 1/4 Like most kids in the 40s, I easily survived the red measles, i.e. rubella.  So why vaccinate?  Well, I had measles when mom was pregnant. Six months later, my little brother, Ronnie was born with a clef palate, much of his bowel necrotic, his eyes unable to open, his tongue tied, and more.  Mom carried him on a pillow for months he was so weak.  He underwent six operations before age two.  We moved his hands and knees for weeks to teach him to crawl.  1/",https://www.threads.com/@kay_wise_threads/post/DOKRiodkYEO,,1000,1200,16400,297.0,,threads,,
nani_wai,2025-01-02 22:09:22+00:00,Things I will not be getting in 2025 Things I will not be getting in 2025 - Polio  - Smallpox  - Tetanus  - Diphtheria  - Measles  - Mumps  - Rubella - Polio  - Smallpox  - Tetanus  - Diphtheria  - Measles  - Mumps  - Rubella Because of vaccines. Because of vaccines. I’m vaccinated. I’m vaccinated.,https://www.threads.com/@nani_wai/post/DEVuWkyzJjW,,128,0,21200,0.0,,threads,,
late.july,2025-03-11 23:53:39+00:00,"late.julyVerified All my titre results came back. it turns out those vaccines the doctors gave me in the 80's still work. Immune to measles, rubella AND the mumps. All my titre results came back. it turns out those vaccines the doctors gave me in the 80's still work. Immune to measles, rubella AND the mumps. Science is so neat. Science is so neat.",https://www.threads.com/@late.july/post/DHFAV4Xy4Wi,,0,0,19400,0.0,,threads,,
gernorlat,2025-08-13 02:10:31+00:00,"I’m old enough to have lived through measles, mumps, chicken pox, and rubella before there were vaccines for them. Rubella wasn’t bad, but if a pregnant woman gets it, it can cause severe harm to the developing fetus. Mumps was awful. Chicken pox was torture. Imagine unbearable itching all over but you can’t scratch. Measles was the sickest I have ever been in my life. It can damage the eyes, so I had to lie in a darkened room, no reading, no TV. This generation has no idea. I’m old enough to have lived through measles, mumps, chicken pox, and rubella before there were vaccines for them. Rubella wasn’t bad, but if a pregnant woman gets it, it can cause severe harm to the developing fetus. Mumps was awful. Chicken pox was torture. Imagine unbearable itching all over but you can’t scratch. Measles was the sickest I have ever been in my life. It can damage the eyes, so I had to lie in a darkened room, no reading, no TV. This generation has no idea.",https://www.threads.com/@gernorlat/post/DNRybKfspMx,,0,0,0,0.0,,threads,,
maryrosscrawford,2025-12-30 15:21:58+00:00,"I stood in line in a high school gym in 1961 so I wouldn't get polio. I was vaccinated against small pox. I had measles, mumps and rubella as a child because no vaccines were available. I get regular flu and COVID shots and boosters. So far, the after effects are that i haven't been crippled or died unnecessarily. I'm 71. I stood in line in a high school gym in 1961 so I wouldn't get polio. I was vaccinated against small pox. I had measles, mumps and rubella as a child because no vaccines were available. I get regular flu and COVID shots and boosters. So far, the after effects are that i haven't been crippled or died unnecessarily. I'm 71.",https://www.threads.com/@maryrosscrawford/post/DS5HfhtDkPs,,0,0,0,0.0,,threads,,
itsrachelonline,2025-03-03 01:40:42+00:00,What is the Oregon Fucking Trail timeline are we in?!? What is the Oregon Fucking Trail timeline are we in?!? Measles? Rubella??! DYSENTARY?!?!? Measles? Rubella??! DYSENTARY?!?!?,https://www.threads.com/@itsrachelonline/post/DGuBcD8tAgr,,59,0,2700,0.0,,threads,,
drtehwaibin_paeds,2025-07-29 03:10:51+00:00,"Hi mommy. I'm Dr. Teh, Paeds here from JB. Hi mommy. I'm Dr. Teh, Paeds here from JB. Yes encourage to take as booster for protection since child is already 4y.o, last MMR was like during 1 year old for her. This vaccine is MR (only measles n rubella), not MMR. Yes encourage to take as booster for protection since child is already 4y.o, last MMR was like during 1 year old for her. This vaccine is MR (only measles n rubella), not MMR. Best is anak also covered with other vaccination like influenza or chicken pox as well ya. Best is anak also covered with other vaccination like influenza or chicken pox as well ya.",https://www.threads.com/@drtehwaibin_paeds/post/DMrRZ6myp8T,,0,0,0,0.0,,threads,,
lauras.write.edits,2025-02-22 03:02:30+00:00,"Since anti-vaxxers prefer anecdotal evidence rather than scientific, I am going to give anecdotal evidence to explain why I am pro-vaccines. Since anti-vaxxers prefer anecdotal evidence rather than scientific, I am going to give anecdotal evidence to explain why I am pro-vaccines. Gather round friends, and let me tell you about my grandma. Gather round friends, and let me tell you about my grandma. My grandma was born in 1934. As she grew up, she caught whooping cough, chicken pox, and rubella TWICE each. Yes, you read that right. Twice. One of my theories that her immune system got wiped out by measles at some point. (1) 1/4 My grandma was born in 1934. As she grew up, she caught whooping cough, chicken pox, and rubella TWICE each. Yes, you read that right. Twice. One of my theories that her immune system got wiped out by measles at some point. (1)",https://www.threads.com/@lauras.write.edits/post/DGW_pavs3Ja,,0,0,1000,0.0,,threads,,
kateravenbooks,2025-05-23 19:17:14+00:00,"Microdosing measles, mumps, & rubella to activate your natural immune system is the crunchiest and safest natural method! And it’s available for free at your doctor’s office or pharmacy 🌿🍃☀️ Microdosing measles, mumps, & rubella to activate your natural immune system is the crunchiest and safest natural method! And it’s available for free at your doctor’s office or pharmacy 🌿🍃☀️",https://www.threads.com/@kateravenbooks/post/DKAevU8SEgI,,123,0,5800,0.0,,threads,,
iamthirtyaf,2025-04-03 21:51:27+00:00,"iamthirtyafVerified I got the three rounds of MMR vaccines when I was a kid. After hearing from a friend that the lifelong immunity doesn’t actually hold for everybody, I asked my doctor if I could get checked to see if I am still immune to measles. I just got my results back and have full mumps immunity, low to no immunity to measles, and no immunity to rubella. Booster appointment is scheduled for next week! Pretty easy to schedule a blood test and get checked, just a heads up 💕 I got the three rounds of MMR vaccines when I was a kid. After hearing from a friend that the lifelong immunity doesn’t actually hold for everybody, I asked my doctor if I could get checked to see if I am still immune to measles. I just got my results back and have full mumps immunity, low to no immunity to measles, and no immunity to rubella. Booster appointment is scheduled for next week! Pretty easy to schedule a blood test and get checked, just a heads up 💕",https://www.threads.com/@iamthirtyaf/post/DIAApEcAcmY,,228,0,5500,0.0,,threads,,
neodocjdg,2025-12-12 00:48:32+00:00,"With measles starting to come back due to lack of herd immunity I’m starting to worry about congenital rubella; it’s basically silent until a pregnant person gets it. With measles starting to come back due to lack of herd immunity I’m starting to worry about congenital rubella; it’s basically silent until a pregnant person gets it. Congenital rubella causes a series of birth defects which cause life long disability if the child survives including deafness, heart defects, cataracts, and intellectual disabilities. Congenital rubella causes a series of birth defects which cause life long disability if the child survives including deafness, heart defects, cataracts, and intellectual disabilities.",https://www.threads.com/@neodocjdg/post/DSJNOgnDGjI,Measles,0,0,0,0.0,,threads,,
holistichealthandmore,2025-10-14 10:36:10+00:00,Did you know the rubella vaccine was tested on orphaned and institutionalized children in the 1960s? Did you know the rubella vaccine was tested on orphaned and institutionalized children in the 1960s? Dr. Stanley Plotkin admitted it under oath. Dr. Stanley Plotkin admitted it under oath.,https://www.threads.com/@holistichealthandmore/post/DPyVk1uDape,vaccines,0,0,0,0.0,,threads,,
barbieann5280,2025-09-08 14:30:15+00:00,"By pure luck, I've never had Polio, Tetanus, Diphtheria, Rabies, Rubella, Measles, or Mumps. 🙏 Just kidding, it's because l'm vaccinated, and they work. By pure luck, I've never had Polio, Tetanus, Diphtheria, Rabies, Rubella, Measles, or Mumps. 🙏 Just kidding, it's because l'm vaccinated, and they work.",https://www.threads.com/@barbieann5280/post/DOWDv2jjpFo,,0,0,1100,0.0,,threads,,
blythern01,2025-10-08 23:57:20+00:00,"Public health nurse here with a little FYI.  Single entity vaccines for Measles, Mumps, and Rubella DON’T EVEN EXIST!!  For the love of all, I can’t anymore. Public health nurse here with a little FYI.  Single entity vaccines for Measles, Mumps, and Rubella DON’T EVEN EXIST!!  For the love of all, I can’t anymore.",https://www.threads.com/@blythern01/post/DPkUfgWDPi1,,0,0,0,0.0,,threads,,
senmarkeymemes,2025-09-19 14:14:19+00:00,"senmarkeymemesVerified Measles. Mumps. Rubella. This vaccine is safe, it’s effective, and it protects us all. RFK Jr. is leading our country into a dangerous, uncertain future. He must resign. 1/2 Measles. Mumps. Rubella. This vaccine is safe, it’s effective, and it protects us all. RFK Jr. is leading our country into a dangerous, uncertain future. He must resign.",https://www.threads.com/@senmarkeymemes/post/DOyWqwPDSxx,,0,0,62,0.0,,threads,,
weberlaurel,2025-10-26 05:46:00+00:00,"I'm 68 years old and have had every vaccine since they became available. Sugar cube with medicine on it for polio & the TB shot.  I've had measles(twice), rubella, chicken pox & was so happy when the MMA shot was developed so my child didn't have to go through what I did. I have always gotten the flu & COVID vaccine as I  have a compromised immune system & can't trust people to get their vaccines.  Guess what? They work. My daughter, grandsons & I are all healthy & alive.I trust science! I'm 68 years old and have had every vaccine since they became available. Sugar cube with medicine on it for polio & the TB shot.  I've had measles(twice), rubella, chicken pox & was so happy when the MMA shot was developed so my child didn't have to go through what I did. I have always gotten the flu & COVID vaccine as I  have a compromised immune system & can't trust people to get their vaccines.  Guess what? They work. My daughter, grandsons & I are all healthy & alive.I trust science!",https://www.threads.com/@weberlaurel/post/DQQt6GCDif-,,0,0,0,0.0,,threads,,
jannahghani,2025-05-28 10:24:40+00:00,Dah baik demam 3 hari tiba tiba harini naik bintik pulak. Macam campak. Mama mama ada tips tak untuk surutkan bintik campak ni☹️  Translate Dah baik demam 3 hari tiba tiba harini naik bintik pulak. Macam campak. Mama mama ada tips tak untuk surutkan bintik campak ni☹️,https://www.threads.com/@jannahghani/post/DKMZxBbykT9,,0,0,0,0.0,,threads,,
tiara401,2025-11-19 09:45:19+00:00,"tiara401Verified Ini pasien temenku, dengan pneumonia campak :( sedih banget liatnya. Ini pasien temenku, dengan pneumonia campak :( sedih banget liatnya. Semoga ga makin rame yaa para antivaks ini. Kalo udah mau nyerah menghadapi mereka, aku suka mengutip kata2 ini. Semoga ga makin rame yaa para antivaks ini. Kalo udah mau nyerah menghadapi mereka, aku suka mengutip kata2 ini. ""Only Vaccinate The Kids You Want To Keep""  Translate ""Only Vaccinate The Kids You Want To Keep""",https://www.threads.com/@tiara401/post/DRO8X8liRTz,VaccinesSaveLives,0,0,0,0.0,,threads,,
iogh_bp,2025-11-25 02:56:41+00:00,4 Minggu ini kasus campak membeludak* Farahhhh ( parah versi Sunda ) Kalo Udha vaksin sih campaknya ringan Yang belum vaksin nih sampe pneumonia. Diare hebat muntah2 hebat 4 Minggu ini kasus campak membeludak* Farahhhh ( parah versi Sunda ) Kalo Udha vaksin sih campaknya ringan Yang belum vaksin nih sampe pneumonia. Diare hebat muntah2 hebat Ampun ya Allah  Please jangan lupa vaksin anakmu di usia 9 bulan ya....  Translate 1/2 Ampun ya Allah  Please jangan lupa vaksin anakmu di usia 9 bulan ya....,https://www.threads.com/@iogh_bp/post/DRdqYTvAet8,campak,0,0,0,0.0,,threads,,
mrsresna,2025-11-24 23:57:10+00:00,Yuk para dokter anak  Sedang merawat berapa pasien campak hari ini? Yuk para dokter anak  Sedang merawat berapa pasien campak hari ini? Saya : 4 semua komplikasi pneumonia dan tentunya intake sulit  semua pasien ini juga ga vaksin  Translate 1/2 Saya : 4 semua komplikasi pneumonia dan tentunya intake sulit  semua pasien ini juga ga vaksin,https://www.threads.com/@mrsresna/post/DRdV1eXkgF5,,0,0,0,0.0,,threads,,
rosentine.a,2025-11-25 12:07:48+00:00,"Lg bnyk kasus campak ya sptinya, dan dokter2 anak pada bilang parah bngt efeknya utk anak2 yg tidak divaksin. Muntaber parah dan pneumonia sampai hrs masuk NICU. Bahkan bayi yg blm bs vaksin campak jg hrs kena krna blm cukup umurnya utk vaksin. Kl kyk gini gmn pertanggung jawaban dari orang tua yg tdk memvaksin anak2nya? Anak kalian jd penyebar endemi campak skrng. Hrsnya kalian yg anti vaksin gblh pakai BPJS jg kl kyk gini, jd beban yg seharusnya bs dihindari dgn vaksin. Herd immunity hancur.  Translate Lg bnyk kasus campak ya sptinya, dan dokter2 anak pada bilang parah bngt efeknya utk anak2 yg tidak divaksin. Muntaber parah dan pneumonia sampai hrs masuk NICU. Bahkan bayi yg blm bs vaksin campak jg hrs kena krna blm cukup umurnya utk vaksin. Kl kyk gini gmn pertanggung jawaban dari orang tua yg tdk memvaksin anak2nya? Anak kalian jd penyebar endemi campak skrng. Hrsnya kalian yg anti vaksin gblh pakai BPJS jg kl kyk gini, jd beban yg seharusnya bs dihindari dgn vaksin. Herd immunity hancur.",https://www.threads.com/@rosentine.a/post/DRepcvICTQo,,0,0,0,0.0,,threads,,
mega__gram,2025-08-26 12:33:47+00:00,"Saya merawat dua anak bersaudara. Anak kedua terkena campak, sementara adiknya (anak ketiga) datang dengan keluhan sesak napas. Keduanya memang tidak mendapatkan imunisasi. Saya menjelaskan kepada ibunya bahwa campak sangat mudah menular pada anak yang tidak diimunisasi  Translate 1/3 Saya merawat dua anak bersaudara. Anak kedua terkena campak, sementara adiknya (anak ketiga) datang dengan keluhan sesak napas. Keduanya memang tidak mendapatkan imunisasi. Saya menjelaskan kepada ibunya bahwa campak sangat mudah menular pada anak yang tidak diimunisasi",https://www.threads.com/@mega__gram/post/DN0YFdy5nCb,,0,0,0,0.0,,threads,,
nurliyyyyyyy,2025-08-17 15:34:08+00:00,"Seiring dengan pertambahan bilangan cucukan vaksin campak tambahan (Measles Rubella), pertambahan AEFI juga makin meningkat naik. Nak ambil risiko? Silakan.. jangan kata antivaksin tak peringat😌 Seiring dengan pertambahan bilangan cucukan vaksin campak tambahan (Measles Rubella), pertambahan AEFI juga makin meningkat naik. Nak ambil risiko? Silakan.. jangan kata antivaksin tak peringat😌 Yg menyesal tak sudah lepas anak sakit ada, yg menyesal sbb x ikut cakap suami supaya jgn cucuk pon ada. Yg menyesal tak sudah lepas anak sakit ada, yg menyesal sbb x ikut cakap suami supaya jgn cucuk pon ada. Kpd anak2 yg terkesan, semoga cepat sembuh🤲 Kpd parents yg masih percaya vaksin, semoga mendapat petunjuk🤲  Translate Kpd anak2 yg terkesan, semoga cepat sembuh🤲 Kpd parents yg masih percaya vaksin, semoga mendapat petunjuk🤲",https://www.threads.com/@nurliyyyyyyy/post/DNdhkfgzVw_,Aefi MR,0,0,0,0.0,,threads,,
hidhayahsulaiman,2025-10-08 10:38:39+00:00,Anak kena demam campak. Biasanya bagi air kelapa cepat baik tak? Anak kena demam campak. Biasanya bagi air kelapa cepat baik tak?,https://www.threads.com/@hidhayahsulaiman/post/DPi5F0FkhZp,,0,0,0,0.0,,threads,,
riayoanita,2025-08-24 15:42:34+00:00,"Hoax vaksin MMR bikin autis = mitos ❌ Hoax vaksin MMR bikin autis = mitos ❌ Dampak nyata:  ✅ KLB ✅ Anak sakit berat ✅ Meninggal. Dampak nyata:  ✅ KLB ✅ Anak sakit berat ✅ Meninggal. Semua lembaga kesehatan dunia sepakat: AMAN & PENTING. Semua lembaga kesehatan dunia sepakat: AMAN & PENTING. 💉 Vaksin melindungi, hoax membahayakan. 💉 Vaksin melindungi, hoax membahayakan. Pilih yang benar untuk masa depan anak kita. 🌟 Pilih yang benar untuk masa depan anak kita. 🌟 #riayoanita  #campak #imunisasi #dokteranak  Translate #riayoanita  #campak #imunisasi #dokteranak",https://www.threads.com/@riayoanita/post/DNvkGYK5Bsn,,0,0,0,0.0,,threads,,
iamkim.ishulk,2025-09-11 15:33:55+00:00,"Today my 4 year old daughter received her FREE Measles & Rubella (MR) booster shot! 💉✨ Today my 4 year old daughter received her FREE Measles & Rubella (MR) booster shot! 💉✨ We did it at Sunway Medical Centre Damansara . @sunwaymedicaldamansara We did it at Sunway Medical Centre Damansara . @sunwaymedicaldamansara The best part?  There was no queue at all. I feel not many parents know about this, so I’m sharing here to spread the word. 1/3 The best part?  There was no queue at all. I feel not many parents know about this, so I’m sharing here to spread the word.",https://www.threads.com/@iamkim.ishulk/post/DOd5azliZ1c,FreeJab,0,0,0,0.0,,threads,,
qurratulainizafira,2025-08-05 07:01:55+00:00,Done cucuk vaksin Measles Rubella (MR). Nurse ckp side effect mcm biasa. Btw abg tanya tadi “lepas cucuk ni jadi boiboy ke mama?” 🤭 Done cucuk vaksin Measles Rubella (MR). Nurse ckp side effect mcm biasa. Btw abg tanya tadi “lepas cucuk ni jadi boiboy ke mama?” 🤭,https://www.threads.com/@qurratulainizafira/post/DM9tacLzDJC,,0,0,0,0.0,,threads,,
thepreciousmiaaa,2025-10-23 15:03:12+00:00,Kalini aku memang betul2 marah betul2 baran dengan antivax!!  Anak aku suspect measles. Tak pernah ek measles kena ambil darah cek antibody. Tapi kalini anak aku kena cucuk ambil darah. PKD minta untuk confirmkan measles sebab banyak sangat antivax berleluasa kat malaysia ni. Tak pasal2 anak aku kena cocok! Anak aku fully vax tahu. Herd immunity dh makin kurang sbb bangsa2 meratib taknak vaksin ni dh bersepah. Serabut lah. Prosedur makin bertambah itu ini. Anak yg fully vax ni jd mangsa.  Translate Kalini aku memang betul2 marah betul2 baran dengan antivax!!  Anak aku suspect measles. Tak pernah ek measles kena ambil darah cek antibody. Tapi kalini anak aku kena cucuk ambil darah. PKD minta untuk confirmkan measles sebab banyak sangat antivax berleluasa kat malaysia ni. Tak pasal2 anak aku kena cocok! Anak aku fully vax tahu. Herd immunity dh makin kurang sbb bangsa2 meratib taknak vaksin ni dh bersepah. Serabut lah. Prosedur makin bertambah itu ini. Anak yg fully vax ni jd mangsa.,https://www.threads.com/@thepreciousmiaaa/post/DQJ_SjxCRI1,,42,0,1400,0.0,,threads,,
najonadiatika,2025-11-09 11:03:50+00:00,"najonadiatikaVerified Stay safe yaaa. Terutama buat anak2 lagi musim banget campak. Di RS penuh ruang rawat anak penyebabnya karna campak + komplikasinya (radang paru, radang saluran pencernaan, hingga radang pada otak sehingga anaknya kejang) Stay safe yaaa. Terutama buat anak2 lagi musim banget campak. Di RS penuh ruang rawat anak penyebabnya karna campak + komplikasinya (radang paru, radang saluran pencernaan, hingga radang pada otak sehingga anaknya kejang) Dan dari yang dirawat itu 90% TIDAK IMUNISASI 😭😭 Dan dari yang dirawat itu 90% TIDAK IMUNISASI 😭😭 Plis banget ibu bapak, tolong dilengkapi imunisasi anak anaknya. Karna kasian kalau sakit, jadinya sulit makan minum, resiko penularan juga tinggi.  Translate Plis banget ibu bapak, tolong dilengkapi imunisasi anak anaknya. Karna kasian kalau sakit, jadinya sulit makan minum, resiko penularan juga tinggi.",https://www.threads.com/@najonadiatika/post/DQ1VaPskSk9,,0,0,0,0.0,,threads,,
